OrderID,StoreID,SalesPersonID,ProductID,CustomerID,supplier_id
ORD-1001,ST-02,SP-012,PROD-0048,CUST-0078,1
ORD-1002,ST-07,SP-007,PROD-0059,CUST-0087,2
ORD-1003,ST-02,SP-013,PROD-0039,CUST-0088,3
ORD-1004,ST-01,SP-006,PROD-0042,CUST-0065,4
ORD-1005,ST-05,SP-012,PROD-0012,CUST-0056,4
ORD-1006,ST-04,SP-014,PROD-0021,CUST-0035,4
ORD-1007,ST-01,SP-006,PROD-0025,CUST-0086,4
ORD-1008,ST-05,SP-010,PROD-0018,CUST-0044,5
ORD-1009,ST-04,SP-013,PROD-0036,CUST-0063,6
ORD-1010,ST-07,SP-004,PROD-0019,CUST-0012,7
ORD-1011,ST-06,SP-007,PROD-0023,CUST-0068,8
ORD-1012,ST-03,SP-002,PROD-0021,CUST-0025,4
ORD-1013,ST-04,SP-002,PROD-0019,CUST-0077,7
ORD-1014,ST-01,SP-001,PROD-0018,CUST-0017,5
ORD-1015,ST-08,SP-008,PROD-0019,CUST-0074,7
ORD-1016,ST-02,SP-008,PROD-0026,CUST-0009,9
ORD-1017,ST-07,SP-013,PROD-0036,CUST-0016,6
ORD-1018,ST-05,SP-008,PROD-0059,CUST-0058,2
ORD-1019,ST-05,SP-004,PROD-0041,CUST-0027,9
ORD-1020,ST-08,SP-007,PROD-0001,CUST-0021,3
ORD-1021,ST-08,SP-014,PROD-0045,CUST-0037,10
ORD-1022,ST-03,SP-011,PROD-0015,CUST-0070,7
ORD-1023,ST-08,SP-005,PROD-0059,CUST-0073,2
ORD-1024,ST-02,SP-008,PROD-0032,CUST-0070,6
ORD-1025,ST-01,SP-004,PROD-0006,CUST-0004,1
ORD-1026,ST-03,SP-005,PROD-0029,CUST-0084,11
ORD-1027,ST-02,SP-006,PROD-0022,CUST-0053,3
ORD-1028,ST-02,SP-008,PROD-0003,CUST-0071,12
ORD-1029,ST-08,SP-009,PROD-0056,CUST-0085,13
ORD-1030,ST-01,SP-013,PROD-0029,CUST-0081,11
ORD-1031,ST-04,SP-011,PROD-0002,CUST-0016,7
ORD-1032,ST-02,SP-014,PROD-0015,CUST-0012,7
ORD-1033,ST-08,SP-014,PROD-0027,CUST-0035,5
ORD-1034,ST-03,SP-012,PROD-0033,CUST-0077,8
ORD-1035,ST-05,SP-012,PROD-0019,CUST-0001,7
ORD-1036,ST-07,SP-006,PROD-0023,CUST-0062,8
ORD-1037,ST-07,SP-013,PROD-0055,CUST-0030,5
ORD-1038,ST-06,SP-003,PROD-0003,CUST-0064,12
ORD-1039,ST-03,SP-011,PROD-0056,CUST-0053,13
ORD-1040,ST-06,SP-014,PROD-0006,CUST-0084,1
ORD-1041,ST-05,SP-004,PROD-0005,CUST-0080,6
ORD-1042,ST-01,SP-001,PROD-0020,CUST-0089,2
ORD-1043,ST-03,SP-007,PROD-0034,CUST-0032,5
ORD-1044,ST-03,SP-010,PROD-0059,CUST-0064,2
ORD-1045,ST-03,SP-005,PROD-0058,CUST-0060,5
ORD-1046,ST-04,SP-005,PROD-0055,CUST-0059,5
ORD-1047,ST-05,SP-012,PROD-0019,CUST-0074,7
ORD-1048,ST-04,SP-013,PROD-0050,CUST-0037,6
ORD-1049,ST-03,SP-012,PROD-0049,CUST-0087,8
ORD-1050,ST-03,SP-006,PROD-0038,CUST-0005,10
ORD-1051,ST-06,SP-009,PROD-0051,CUST-0017,5
ORD-1052,ST-08,SP-002,PROD-0052,CUST-0044,12
ORD-1053,ST-01,SP-007,PROD-0051,CUST-0012,5
ORD-1054,ST-06,SP-011,PROD-0053,CUST-0049,9
ORD-1055,ST-08,SP-011,PROD-0005,CUST-0083,6
ORD-1056,ST-02,SP-008,PROD-0020,CUST-0005,2
ORD-1057,ST-07,SP-012,PROD-0048,CUST-0086,1
ORD-1058,ST-06,SP-001,PROD-0018,CUST-0053,5
ORD-1059,ST-06,SP-011,PROD-0058,CUST-0070,5
ORD-1060,ST-01,SP-011,PROD-0014,CUST-0085,7
ORD-1061,ST-04,SP-004,PROD-0038,CUST-0027,10
ORD-1062,ST-03,SP-005,PROD-0035,CUST-0017,6
ORD-1063,ST-05,SP-003,PROD-0002,CUST-0042,7
ORD-1064,ST-02,SP-006,PROD-0050,CUST-0058,6
ORD-1065,ST-01,SP-001,PROD-0042,CUST-0059,4
ORD-1066,ST-06,SP-002,PROD-0058,CUST-0010,5
ORD-1067,ST-07,SP-006,PROD-0046,CUST-0071,13
