OrderID,OrderLineNo,OrderDate,ShipDate,ShipMode,OrderStatus,PaymentMethod,Quantity,Discount,LineTotal
ORD-1001,3,21-02-2025,24-02-2025,Standard Class,Processing,Store Credit,5,0,3944.95
ORD-1002,3,26-07-2025,07-08-2025,Second Class,Delivered,PayPal,4,0,1031.72
ORD-1003,3,22-12-2025,01-01-2026,Same Day,Processing,Credit Card,1,0,50.72
ORD-1004,2,11-10-2024,18-10-2024,First Class,Cancelled,Debit Card,8,0,3158.32
ORD-1005,2,28-04-2026,08-05-2026,Same Day,Cancelled,Store Credit,9,0.2,1879.27
ORD-1006,1,07-11-2024,09-11-2024,Same Day,Returned,Store Credit,5,0.05,412.68
ORD-1007,2,14-07-2026,22-07-2026,Second Class,Processing,PayPal,6,0,979.74
ORD-1008,1,20-06-2025,29-06-2025,Standard Class,Shipped,Bank Transfer,1,0.1,6.82
ORD-1009,3,27-03-2026,08-04-2026,Same Day,Cancelled,Credit Card,8,0.15,7010.94
ORD-1010,3,13-02-2025,25-02-2025,First Class,Cancelled,Store Credit,4,0,1438.28
ORD-1011,2,01-06-2025,07-06-2025,First Class,Shipped,Credit Card,8,0,3823.68
ORD-1012,2,15-11-2025,19-11-2025,First Class,Returned,Store Credit,4,0.15,295.39
ORD-1013,1,16-12-2024,21-12-2024,First Class,Delivered,Store Credit,4,0,1438.28
ORD-1014,1,02-01-2025,11-01-2025,Same Day,Delivered,Credit Card,5,0.15,32.21
ORD-1015,1,26-03-2026,03-04-2026,First Class,Cancelled,Credit Card,6,0,2157.42
ORD-1016,1,24-01-2026,03-02-2026,First Class,Delivered,Debit Card,1,0,1001.33
ORD-1017,3,07-02-2026,17-02-2026,Second Class,Returned,Bank Transfer,10,0.2,8248.16
ORD-1018,3,26-04-2026,06-05-2026,Standard Class,Returned,Credit Card,7,0,1805.51
ORD-1019,1,24-03-2026,04-04-2026,Second Class,Returned,Credit Card,2,0,1499.34
ORD-1020,2,12-08-2025,24-08-2025,Standard Class,Shipped,PayPal,10,0.05,1782.67
ORD-1021,3,25-11-2024,27-11-2024,Second Class,Cancelled,Credit Card,4,0,1376.48
ORD-1022,1,16-03-2025,21-03-2025,Second Class,Processing,Store Credit,3,0,906.42
ORD-1023,2,06-08-2025,08-08-2025,Same Day,Processing,Store Credit,8,0.15,1753.92
ORD-1024,3,08-11-2024,18-11-2024,First Class,Returned,PayPal,1,0.05,1025.32
ORD-1025,1,15-04-2026,26-04-2026,Second Class,Cancelled,Store Credit,5,0.1,4747.81
ORD-1026,2,05-05-2026,15-05-2026,Standard Class,Cancelled,PayPal,7,0.15,5926.62
ORD-1027,3,22-08-2024,25-08-2024,Same Day,Processing,Bank Transfer,6,0.05,4247.41
ORD-1028,1,19-12-2024,25-12-2024,Same Day,Returned,Credit Card,5,0,691.5
ORD-1029,3,01-04-2026,08-04-2026,First Class,Returned,Bank Transfer,1,0,588.43
ORD-1030,1,04-04-2026,08-04-2026,First Class,Cancelled,Bank Transfer,5,0.1,4482.32
ORD-1031,3,30-01-2025,11-02-2025,Standard Class,Returned,Bank Transfer,3,0,1911.87
ORD-1032,1,30-06-2025,08-07-2025,Same Day,Processing,Store Credit,2,0.15,513.64
ORD-1033,3,03-06-2026,11-06-2026,Second Class,Cancelled,Debit Card,4,0.05,1219.95
ORD-1034,2,29-12-2025,31-12-2025,First Class,Returned,PayPal,5,0.2,1710.6
ORD-1035,2,17-02-2025,27-02-2025,Second Class,Cancelled,Store Credit,10,0.15,3056.34
ORD-1036,1,25-03-2026,02-04-2026,Second Class,Returned,Bank Transfer,6,0.2,2294.21
ORD-1037,2,05-08-2025,06-08-2025,Same Day,Cancelled,Debit Card,6,0.15,2932.45
ORD-1038,3,08-11-2025,10-11-2025,Same Day,Delivered,Debit Card,8,0,1106.4
ORD-1039,2,30-10-2024,01-11-2024,First Class,Returned,Bank Transfer,8,0.2,3765.95
ORD-1040,2,23-08-2024,03-09-2024,Same Day,Returned,Credit Card,9,0.05,9020.85
ORD-1041,1,30-04-2025,04-05-2025,Standard Class,Cancelled,Debit Card,2,0.05,1234.16
ORD-1042,2,09-10-2025,15-10-2025,First Class,Cancelled,Debit Card,1,0,605.91
ORD-1043,3,08-12-2024,11-12-2024,Same Day,Returned,Debit Card,3,0,3514.71
ORD-1044,2,29-04-2026,03-05-2026,Same Day,Processing,Credit Card,8,0.15,1753.92
ORD-1045,3,04-10-2025,06-10-2025,First Class,Cancelled,PayPal,8,0,842.56
ORD-1046,1,13-04-2025,20-04-2025,Same Day,Returned,PayPal,8,0,4599.92
ORD-1047,1,28-11-2024,29-11-2024,Standard Class,Returned,Bank Transfer,7,0,2516.99
ORD-1048,3,16-05-2026,26-05-2026,Second Class,Returned,PayPal,6,0,6841.8
ORD-1049,3,30-01-2026,10-02-2026,Standard Class,Processing,Bank Transfer,2,0.15,110.52
ORD-1050,3,17-12-2025,19-12-2025,Same Day,Shipped,Debit Card,5,0,4085.1
ORD-1051,1,25-02-2025,06-03-2025,First Class,Cancelled,PayPal,9,0,4885.47
ORD-1052,1,10-05-2025,12-05-2025,Same Day,Returned,PayPal,3,0.2,234.22
ORD-1053,2,28-11-2024,03-12-2024,First Class,Processing,Store Credit,9,0,4885.47
ORD-1054,1,23-09-2025,25-09-2025,First Class,Returned,Debit Card,4,0.05,1069.17
ORD-1055,2,07-07-2026,19-07-2026,Standard Class,Shipped,Credit Card,5,0.15,2760.63
ORD-1056,1,19-04-2026,21-04-2026,Same Day,Cancelled,PayPal,4,0.1,2181.28
ORD-1057,3,17-11-2025,27-11-2025,Standard Class,Cancelled,Store Credit,3,0.05,2248.62
ORD-1058,1,09-12-2025,13-12-2025,First Class,Delivered,PayPal,8,0.05,57.61
ORD-1059,1,13-02-2025,14-02-2025,Standard Class,Cancelled,Credit Card,7,0,737.24
ORD-1060,1,27-05-2025,28-05-2025,Second Class,Delivered,Store Credit,6,0,4858.02
ORD-1061,3,15-08-2024,21-08-2024,Standard Class,Processing,Debit Card,3,0.2,1960.85
ORD-1062,1,22-02-2026,24-02-2026,First Class,Shipped,Store Credit,1,0,963.67
ORD-1063,2,13-02-2026,14-02-2026,Standard Class,Delivered,Bank Transfer,3,0.15,1625.09
ORD-1064,3,07-08-2024,15-08-2024,Standard Class,Returned,PayPal,9,0,10262.7
ORD-1065,3,29-05-2026,06-06-2026,Standard Class,Cancelled,Bank Transfer,7,0.05,2625.35
ORD-1066,1,17-11-2025,27-11-2025,First Class,Returned,Store Credit,3,0,315.96
ORD-1067,2,14-10-2025,24-10-2025,Same Day,Delivered,Credit Card,9,0,2461.05
ORD-1068,2,07-08-2024,14-08-2024,First Class,Cancelled,Bank Transfer,8,0,3158.32
ORD-1069,2,01-02-2025,08-02-2025,First Class,Shipped,Bank Transfer,6,0.15,2801.02
ORD-1070,3,12-03-2026,14-03-2026,First Class,Shipped,Store Credit,7,0,7385.49
ORD-1071,2,12-03-2025,23-03-2025,Same Day,Delivered,PayPal,2,0.05,1552.34
ORD-1072,1,08-07-2026,18-07-2026,Same Day,Shipped,Credit Card,9,0,5453.19
ORD-1073,1,13-11-2025,15-11-2025,Same Day,Returned,Store Credit,5,0.1,2587.45
ORD-1074,1,06-06-2025,16-06-2025,First Class,Processing,PayPal,5,0,2803.3
ORD-1075,1,03-05-2025,13-05-2025,Standard Class,Delivered,Store Credit,7,0,1313.55
ORD-1076,2,12-04-2025,18-04-2025,First Class,Returned,Store Credit,3,0,489.87
